family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
carnivora nepentes,6273,600,5673,0.9044,0.0956,736.0,0.1173,1.2267,0.5408,18,12,10.3907,0.1944,115,9.0,22.0,47.5,intermittent,strong,all_year
carnivora sarracenia,6273,616,5657,0.9018,0.0982,909.0,0.1449,1.4756,0.8683,18,12,8.813,0.3462,75,5.5,21.0,47.5,intermittent,strong,all_year
philodendron monstera,6273,640,5633,0.898,0.102,932.0,0.1486,1.4563,0.8923,18,12,8.072,0.3755,84,3.5,6.0,15.2,intermittent,strong,all_year
beaucarnea,6273,655,5618,0.8956,0.1044,792.0,0.1263,1.2092,0.5163,18,12,9.5306,0.1823,103,3.2,6.0,7.8,intermittent,strong,all_year
begonia rex,6273,685,5588,0.8908,0.1092,1026.0,0.1636,1.4978,0.9817,18,12,8.5643,0.4296,313,6.0,8.0,48.0,intermittent,strong,all_year
sterlizia nicolai,6273,693,5580,0.8895,0.1105,1097.0,0.1749,1.583,0.9284,18,12,3.9162,0.344,278,4.0,7.0,9.0,intermittent,strong,all_year
agrumi,6273,699,5574,0.8886,0.1114,1012.0,0.1613,1.4478,0.8231,18,12,7.5229,0.3232,77,5.5,14.0,29.5,intermittent,strong,all_year
ficus lyrata,6273,702,5571,0.8881,0.1119,891.0,0.142,1.2692,0.6344,18,12,8.873,0.2498,32,5.2,12.5,24.8,intermittent,strong,all_year
sanseveria cylindrica,6273,716,5557,0.8859,0.1141,1038.0,0.1655,1.4497,0.8969,18,12,8.7273,0.3828,357,4.0,13.0,36.8,intermittent,strong,all_year
areca,6273,743,5529,0.8814,0.1184,959.0,0.1529,1.2921,0.7265,18,12,8.4461,0.3162,72,2.2,5.0,10.2,intermittent,strong,all_year
ficus ginseng bonsai,6273,786,5487,0.8747,0.1253,1033.0,0.1647,1.3142,0.7749,18,12,7.9783,0.3477,358,4.0,9.0,17.8,intermittent,strong,all_year
limone,6273,786,5487,0.8747,0.1253,1143.0,0.1822,1.4542,0.9543,18,12,7.3873,0.4306,92,3.8,8.0,17.8,intermittent,strong,all_year
medinilla,6273,866,5406,0.8618,0.1381,1056.0,0.1683,1.2206,0.5189,18,12,7.2324,0.1807,358,3.0,5.5,13.0,intermittent,strong,all_year
kentia,6273,913,5359,0.8543,0.1455,1136.0,0.1811,1.2453,0.7631,18,12,6.875,0.3755,158,5.0,7.0,9.5,intermittent,strong,all_year
cymbidium,6273,914,5359,0.8543,0.1457,1292.0,0.206,1.4136,0.8037,18,11,6.8653,0.3232,44,3.0,4.0,7.8,intermittent,strong,all_year
aloe vera,6273,1041,5232,0.8341,0.1659,1418.0,0.226,1.3622,0.7341,18,12,6.0212,0.2904,243,4.0,7.5,16.5,intermittent,strong,all_year
pachira,6273,1048,5225,0.8329,0.1671,1327.0,0.2115,1.2662,0.6124,18,12,5.9723,0.2339,247,2.0,6.0,10.5,intermittent,strong,all_year
felce adiantum,6273,1068,5205,0.8297,0.1703,1655.0,0.2638,1.5496,1.0302,18,12,5.8707,0.4419,105,4.0,7.0,20.5,intermittent,strong,all_year
croton,6273,1110,5163,0.8231,0.1769,1631.0,0.26,1.4694,0.9267,18,12,5.1353,0.3978,51,4.0,4.5,7.2,intermittent,strong,all_year
aeschynantus,6273,1140,5133,0.8183,0.1817,1670.0,0.2662,1.4649,0.842,18,12,5.5022,0.3304,59,2.0,4.0,7.8,intermittent,strong,all_year
aechmea,6273,1160,5113,0.8151,0.1849,1576.0,0.2512,1.3586,0.7517,18,12,5.4029,0.3061,358,3.5,6.0,11.0,intermittent,strong,all_year
schefflera,6273,1191,5082,0.8101,0.1899,1581.0,0.252,1.3275,0.6849,18,12,5.2445,0.2662,268,4.0,5.0,11.0,intermittent,strong,all_year
dracena marginata,6273,1257,5016,0.7996,0.2004,1732.0,0.2761,1.3779,0.7505,18,12,4.9912,0.2967,63,2.2,4.0,7.8,intermittent,strong,all_year
bonsai,6273,1327,4946,0.7885,0.2115,1821.0,0.2903,1.3723,0.7864,18,12,4.7195,0.3284,357,4.0,6.0,9.0,intermittent,strong,all_year
dracena,6273,1547,4726,0.7534,0.2466,2310.0,0.3682,1.4932,1.0054,18,12,4.055,0.4533,25,2.0,3.5,6.0,intermittent,strong,all_year
ficus benjamin,6273,1573,4699,0.7491,0.2508,2290.0,0.3651,1.4565,0.8796,18,12,3.9803,0.3647,78,3.0,4.0,6.0,intermittent,strong,all_year
yucca,6273,1684,4589,0.7315,0.2685,2376.0,0.3788,1.4109,0.8039,18,12,3.7255,0.3246,358,2.2,4.5,5.0,intermittent,strong,all_year
zamioculcas,6273,2051,4222,0.673,0.327,3321.0,0.5294,1.6192,1.0769,18,12,3.0576,0.4424,106,2.0,3.0,6.0,intermittent,strong,all_year
erba gatta,6273,2437,3836,0.6115,0.3885,5237.0,0.8348,2.149,1.5027,18,12,2.5263,0.489,128,3.0,10.0,20.0,intermittent,strong,all_year
stetsonia,6273,2,6271,0.9997,0.0003,12.0,0.0019,6.0,5.6569,18,2,19.0,0.8889,131,,,,lumpy,weak,very_narrow
